label,engagement_score,sentiment_score,num_words
High,0.6743252416732496,0.5688453910426832,9
Low,0.5498211417185401,0.19049094229654306,18
High,0.49652564655699444,0.36870673536313836,8
Low,0.2586565576447366,-0.40438744779268565,29
High,0.8592009329298615,0.6983022976653732,26
Low,0.7087026701110317,-0.26990629389888254,8
High,0.7211234670556259,-0.6087224633621149,10
Low,0.8128914985922684,0.9892747731861848,14
High,0.40976110285213363,-0.20337282401528722,12
Low,0.5840284474598358,-0.6155495857201174,6
