"user_id","session_id","landing_page","exit_page","pages_viewed","time_on_site","scroll_depth","conversion","page_sequence"
"user_1","session_1415","/home","/home",4,916,0.839100099704228,0,"/checkout|/checkout|/product-details|/products|/cart|/contact|/blog|/about"
"user_2","session_1463","/home","/blog",7,1448,0.868500826624222,0,"/cart|/faq"
"user_3","session_1179","/home","/cart",7,112,0.113100681011565,0,"/contact|/faq|/about|/contact|/about|/blog|/blog"
"user_4","session_1526","/home","/blog",7,493,0.134133474039845,0,"/product-details|/about|/faq|/product-details|/checkout|/blog"
"user_5","session_1195","/products","/products",4,382,0.368970884429291,0,"/cart|/contact"
"user_6","session_1938","/products","/blog",10,1475,0.39402145347558,0,"/contact|/about"
"user_7","session_1818","/products","/blog",2,1522,0.167295306548476,0,"/blog|/faq|/product-details"
"user_8","session_1118","/blog","/products",9,1504,0.73727397499606,0,"/products|/blog|/product-details|/faq"
"user_9","session_1299","/home","/checkout",3,509,0.122667745058425,1,"/blog|/about|/home|/home|/contact|/contact|/about|/product-details"
"user_10","session_1229","/about","/blog",8,65,0.841654418688268,0,"/product-details|/blog|/home|/home|/product-details|/faq|/checkout|/about"
"user_11","session_1244","/home","/products",6,1146,0.560288260178641,0,"/faq|/products|/products|/product-details|/contact|/contact|/about|/blog"
"user_12","session_1014","/products","/checkout",6,1354,0.790036898548715,0,"/contact|/about|/cart|/about|/faq|/checkout|/checkout"
"user_13","session_1374","/products","/blog",8,925,0.944204050838016,0,"/products|/home"
"user_14","session_1665","/home","/products",4,675,0.587764902366325,1,"/checkout|/product-details|/about|/contact|/about|/cart"
"user_15","session_1602","/blog","/checkout",2,578,0.954043990257196,0,"/about|/product-details|/blog"
"user_16","session_1603","/home","/blog",4,666,0.385250200214796,0,"/about|/home"
"user_17","session_1768","/blog","/checkout",3,672,0.358114274009131,0,"/about|/products|/products|/checkout|/contact"
"user_18","session_1709","/home","/products",4,983,0.971542562404647,0,"/blog|/checkout|/checkout"
"user_19","session_1091","/home","/blog",10,1185,0.31862372867763,0,"/faq|/cart|/checkout"
"user_20","session_1953","/blog","/home",4,744,0.819761141366325,0,"/home|/contact|/products|/about|/faq|/cart|/cart"
"user_21","session_1348","/home","/products",5,1062,0.36568936619442,0,"/contact|/about|/about|/contact|/contact|/faq|/about|/cart"
"user_22","session_1649","/home","/home",7,1262,0.727107042027637,0,"/home|/about|/home"
"user_23","session_1355","/about","/blog",7,1608,0.785063900100067,0,"/checkout|/products|/about|/about|/about"
"user_24","session_1840","/products","/products",5,1708,0.346357266767882,0,"/about|/home|/product-details|/product-details|/faq|/cart"
"user_25","session_1026","/products","/products",5,775,0.10468729918357,0,"/home|/checkout|/home|/product-details|/about"
"user_26","session_1519","/home","/blog",5,1157,0.479889943916351,0,"/faq|/cart|/products"
"user_27","session_1426","/products","/checkout",5,345,0.638035226869397,0,"/checkout|/cart|/checkout|/product-details"
"user_28","session_1979","/blog","/checkout",9,172,0.497950634988956,0,"/contact|/about|/about|/checkout|/about|/about|/products"
"user_29","session_1766","/products","/products",6,1032,0.408286151383072,0,"/blog|/home|/home|/cart|/about|/cart|/checkout|/products"
"user_30","session_1211","/products","/blog",6,1476,0.564981752540916,0,"/product-details|/cart"
"user_31","session_1932","/home","/home",6,1375,0.305611156136729,0,"/blog|/products|/home|/faq|/about|/about|/home"
"user_32","session_1590","/home","/checkout",6,1042,0.360477987467311,0,"/about|/faq|/about|/blog|/faq|/checkout|/checkout|/contact"
"user_33","session_1593","/home","/home",5,1780,0.120179550070316,0,"/products|/contact"
"user_34","session_1555","/home","/home",4,1791,0.575529868062586,0,"/contact|/contact|/faq|/product-details|/blog"
"user_35","session_1871","/home","/products",5,599,0.476616926398128,0,"/home|/cart|/about|/home|/faq|/faq"
"user_36","session_1373","/products","/checkout",4,334,0.977318169572391,0,"/home|/faq|/blog|/home|/about"
